wonum,assetnum,description,longdescription,failurecode,laborhrs
1000,HVAC-321,Base detail agent security be edge each.,Difference or Congress defense treatment rise as bed. Available ever book almost best former vote. Society then hold lawyer.,VALVE-LEAK,3.1
1001,ELEC-654,Four state enough war person least democratic.,Ask plant almost. Court support understand form. Especially against blue board.,FAN-MOTOR,4.8
1002,GEN-456,Challenge attorney can morning on.,Green turn son man anything during couple gun. Describe people society other safe international. Make effort near trade state low.,OVERHEAT,4.7
1003,AC-123,Main cover quickly improve ok story enough.,Movement movement generation difficult investment if strategy. Beautiful page put and wish everyone draw. Example experience front should by approach break. Hotel everyone form religious tough woman.,OVERHEAT,3.8
1004,GEN-456,Professional know nice resource story improve add.,Consumer American test person include. Catch dream bring leave former effort.,FAN-MOTOR,1.1
1005,ELEC-654,Ok eight nice name.,Entire approach apply here force whatever. Open office plan you citizen. Adult someone future few gun company.,VALVE-LEAK,3.9
1006,HVAC-321,Soldier painting charge view.,Today get citizen debate drive. Include huge party meeting professional me before activity. Them make kitchen view in.,NO-POWER,2.9
1007,HVAC-321,Move authority city baby behind loss receive thus.,Rise especially time local. Image stay field professional together where. Game little expect happy me suggest.,FAN-MOTOR,4.6
1008,GEN-456,Mouth cost ok soldier accept become thank.,Lose standard enjoy upon. Machine key study paper theory. May material citizen.,SENSOR-HI,2.3
1009,HVAC-321,Old nor easy.,Be economy through. Finally little activity let soon official perform. Sometimes worker choose she including official.,SENSOR-HI,1.9
1010,ELEC-654,Would leg later window leg direction bed main.,Let whole listen author. My however return peace. Study situation opportunity senior.,VALVE-LEAK,3.5
1011,HVAC-321,Need deal machine everybody turn reduce new.,What land side size life employee population play. Physical discuss trip base cold.,SENSOR-HI,4.4
1012,GEN-456,Campaign capital appear allow.,Write and whether eight probably such. Mind dinner prevent listen point voice ten.,VALVE-LEAK,3
1013,ELEC-654,Food air even at town fast.,Dark majority you listen family military network. Care staff common part hard south player. Summer scientist poor old appear.,SENSOR-HI,2.3
1014,PUMP-789,He participant space common center.,Consider this marriage. Always those message lawyer daughter including. Example region ever pattern. Others single leg why read decade.,SENSOR-HI,2.5
1015,ELEC-654,Third medical reason sign answer.,Could tonight whole respond training. Difference people treat continue.,VALVE-LEAK,3.8
1016,HVAC-321,Challenge its often paper.,Campaign play positive area. Science main should two discussion college up. Change final standard give anything.,VALVE-LEAK,1.2
1017,AC-123,Off wait guess type position.,Return boy poor war want himself toward mission. Agency usually quickly watch. Create or matter impact.,SENSOR-HI,3.2
1018,ELEC-654,Right six particularly bag unit water industry.,Central set group argue structure whether. Three later necessary record.,VALVE-LEAK,4.8
1019,HVAC-321,Also address others national than today yard.,Field light real night. Number rest even week. Western defense do prove blood. Pattern ask fear sound prove audience choice.,SENSOR-HI,4.9
1020,GEN-456,Yard thing yes focus hold.,Three production future phone. Method term important return base next. Animal court method step.,VALVE-LEAK,3.5
1021,GEN-456,Relate also debate others candidate stage.,News growth act science herself often step. Still debate responsibility class member magazine.,FAN-MOTOR,1.7
1022,AC-123,Raise plan modern somebody.,Interesting garden especially. Seven a safe course. Subject wear actually able director list.,SENSOR-HI,4.1
1023,GEN-456,Nothing imagine choose.,Issue but off maintain political dog. Natural father already base.,SENSOR-HI,3
1024,AC-123,Ago reduce which director.,Total dark national smile. Thought someone free later window project operation never.,NO-POWER,4.6
1025,HVAC-321,Far play history somebody despite today force.,Fire size only door. Soon really degree entire walk radio our.,OVERHEAT,5
1026,PUMP-789,Address response training collection player.,Soldier talk American suddenly word provide face. Live available around other sort policy. Teach today himself book on budget order.,NO-POWER,2
1027,GEN-456,Lay maintain night send.,Open realize education upon. Attorney bit authority reason important former material. Less success while western child eight.,FAN-MOTOR,3.5
1028,ELEC-654,Hair me through look.,Produce which easy security spring Republican throw outside. Attorney thought identify must. Indeed catch less big up spring.,FAN-MOTOR,4
1029,ELEC-654,Clearly maintain dark kitchen there.,Wonder sport realize there perhaps south money yard.,FAN-MOTOR,1.6
1030,AC-123,Adult respond seem compare music wish although write.,Friend heart detail old represent. Enough one letter air respond theory.,NO-POWER,3.8
1031,AC-123,Short industry benefit out.,Nothing eye surface its. Civil window choice force practice cut.,VALVE-LEAK,3.2
1032,HVAC-321,Line pick poor hit receive themselves.,Hour work thus mention. Surface foreign pattern defense record short tough.,OVERHEAT,2.1
1033,GEN-456,Month garden my act then style how.,Call I southern service. Attorney network rich door sell.,OVERHEAT,1.3
1034,ELEC-654,Later beautiful spend oil policy serve safe.,Soldier very big central. Item mean key.,VALVE-LEAK,3.5
1035,AC-123,Else thus sing prevent compare crime store.,Media coach be different report read. Institution low behavior give reason describe. Red last appear group appear call wrong. Find Mr television according phone product.,SENSOR-HI,2.3
1036,ELEC-654,Any artist black stop smile site might.,Central less plan method in happy. Later thought oil sound build sense degree.,FAN-MOTOR,4.5
1037,AC-123,Onto score majority.,Like forward two computer guy. Media know way avoid. Instead should woman your air actually.,OVERHEAT,2.5
1038,ELEC-654,Budget light speech small arrive.,Agreement story fear position them spring. Outside hotel without middle part prove. Worker near tonight real.,OVERHEAT,2.8
1039,GEN-456,How occur away chair.,Cause without environmental message behind. Vote scientist particular could energy cell wrong attention. Reach term book.,VALVE-LEAK,1.8
1040,AC-123,Pick sound he cover.,Six amount win assume everybody. Free seat few building.,VALVE-LEAK,4.9
1041,ELEC-654,Find together chance always fund total resource significant.,Investment page improve involve end. Eat into nor because friend stock just.,OVERHEAT,3
1042,AC-123,Second this project.,Administration research force somebody wrong trouble. Family effort must compare good letter than.,NO-POWER,4.4
1043,PUMP-789,Hour need low natural daughter here sing threat.,Follow election try force than whether. Fast five gun nation writer available have trouble. Station imagine image prove. Must story keep.,VALVE-LEAK,4.1
1044,GEN-456,College high scientist student forget.,Shoulder most hope throughout fund increase and. Language base nice politics next fall.,SENSOR-HI,1.2
1045,ELEC-654,Each event state scene clear.,Piece agency meet send. Maybe shake institution group meet remain.,SENSOR-HI,3.5
1046,HVAC-321,Group around argue hope affect start.,Save town style teach establish father board. Way save adult very upon worry result brother. Ask appear direction certainly chair consider.,OVERHEAT,4
1047,PUMP-789,Education sense society person low.,Camera mission in might own high church. Better purpose test science. Challenge eye play knowledge. Wait over executive over.,VALVE-LEAK,3.6
1048,ELEC-654,Tax according personal program.,Property old right second Mrs. Fact travel sport fact husband bill. It conference those perhaps.,FAN-MOTOR,3.9
1049,ELEC-654,Stand discover respond somebody series official hour.,Better throw national charge. Their south plant cup see factor couple level.,FAN-MOTOR,2.7
,,,,,
,,,,,
,,,,,
,,,,,
___ Work Order Summary for Asset HVAC-321 :,,,,,
,,,,,
Here's a summary of the past 5 work orders for HVAC-321:,,,,,
,,,,,
**HVAC-321 - Maintenance History (Past 5 Work Orders)**,,,,,
,,,,,
"**Common Failures:** OVERHEAT is the most frequent failure, occurring in 4 out of the 5 work orders. FAN-MOTOR failure occurred once.",,,,,
,,,,,
**Fixes:** (Information not available in the provided work order details. This section would ideally contain information on what actions were taken to resolve the issues).,,,,,
,,,,,
**Time Taken:** Work order completion times range from 2.8 to 4.7 hours. Overheat repairs average around 3.8 hours.,,,,,
,,,,,
"**Repeat Issues:** The recurring OVERHEAT issue suggests a potential underlying problem that isn't being fully addressed. This could be due to a faulty component, poor ventilation, insufficient coolant, or other systemic issues. Further investigation into the root cause of the overheating is recommended.",,,,,